iter	Passed	Remaining
1585	19251	41439
1586	19264	41431
1587	19278	41422
1588	19290	41410
1589	19304	41400
1590	19315	41386
1591	19329	41378
1592	19341	41366
1593	19353	41354
1594	19369	41350
1595	19384	41344
1596	19401	41341
1597	19415	41333
1598	19428	41323
1599	19441	41312
1600	19455	41305
1601	19466	41290
1602	19480	41281
1603	19493	41272
1604	19506	41260
1605	19517	41247
1606	19530	41237
1607	19548	41237
1608	19566	41236
1609	19580	41229
1610	19597	41226
1611	19612	41220
1612	19630	41221
1613	19647	41218
1614	19663	41213
1615	19676	41204
1616	19688	41191
1617	19700	41178
1618	19710	41161
1619	19721	41146
1620	19731	41131
1621	19742	41115
1622	19753	41102
1623	19765	41088
1624	19776	41073
1625	19787	41059
1626	19798	41045
1627	19809	41030
1628	19821	41018
1629	19833	41004
1630	19846	40996
1631	19862	40990
1632	19877	40984
1633	19890	40974
1634	19907	40971
1635	19923	40967
1636	19940	40964
1637	19958	40964
1638	19974	40960
1639	19991	40958
1640	20010	40959
1641	20027	40957
1642	20044	40955
1643	20061	40953
1644	20077	40947
1645	20091	40940
1646	20109	40939
1647	20125	40934
1648	20138	40924
1649	20152	40915
1650	20165	40904
1651	20179	40895
1652	20193	40887
1653	20204	40873
1654	20217	40861
1655	20229	40849
1656	20241	40837
1657	20253	40823
1658	20267	40815
1659	20279	40803
1660	20292	40793
1661	20305	40782
1662	20320	40775
1663	20334	40767
